	id	process	step	index	user	start	finish	comment	image	intensities
			S03	0						
			SC001	1				Wavelength: 635 Intensity: 500 Gain:50	170724_P7_50_500_635.jpg	
			SC001	2				Wavelength: 532 Intensity: 500 Gain:50	170724_P7_50_500_532.jpg	
			W004	3						
			SC001	4				Wavelength: 532 Intensity: 500 Gain:50	170724_P7_50_500_532_gewaschenH2O.jpg	
			I01	5						
			W004	6						
			SC001	7				Wavelength: 635 Intensity: 500 Gain:80	P7_170726_500_80_635_nach inkubation_gewaschen.jpg	
			SC001	8				Wavelength: 635 Intensity: 500 Gain:50	P7_170726_500_50_635_nach inkubation_gewaschen.jpg	
