raw_spot__row	1	2	3	4	5	6	7	8	9	10
1	848828.0	3008.0	4131.0	7089.0	2491.0	4799.0	725.0	2102.0	2379.0	576371.0
2	3365.0	3725.0	23141.0	15228.0	11801.0	14005.0	14405.0	34486.0	2740.0	4033.0
3	1005.0	58955.0	68335.0	21727.0	18468.0	13611.0	11199.0	7639.0	13439.0	6833.0
4	2675.0	10077.0	24176.0	24626.0	22549.0	11363.0	11528.0	11425.0	31152.0	3141.0
5	4187.0	9753.0	21456.0	10915.0	54189.0	13311.0	12576.0	14802.0	97896.0	3108.0
6	3434.0	8437.0	13429.0	10779.0	45282.0	26337.0	11497.0	61996.0	311986.0	3108.0
7	9398.0	5647.0	43859.0	16867.0	47469.0	22001.0	15449.0	39842.0	111260.0	26718.0
8	929183.0	6449.0	113580.0	60288.0	39362.0	15251.0	28559.0	17190.0	132034.0	20571.0
9	5070.0	4061.0	8087.0	7114.0	4066.0	3771.0	10932.0	9425.0	1299.0	5741.0
10	3835.0	60373.0	72978.0	48896.0	19284.0	21487.0	26176.0	206401.0	30453.0	7472.0
11	2410.0	105561.0	131647.0	21092.0	15661.0	20769.0	19075.0	146466.0	23690.0	5395.0
12	4215.0	9775.0	83139.0	23280.0	39898.0	14873.0	19329.0	27506.0	24076.0	5201.0
13	2522.0	10280.0	25678.0	29378.0	50532.0	25081.0	16914.0	12048.0	32145.0	5209.0
14	3150.0	10703.0	34032.0	14087.0	46686.0	25630.0	20569.0	16247.0	49834.0	65591.0
15	6101.0	4666.0	30755.0	19902.0	47985.0	26078.0	14029.0	21048.0	67366.0	52444.0
16	856083.0	3613.0	75885.0	20388.0	58867.0	26020.0	9269.0	33399.0	159835.0	73649.0
17	1661.0	4046.0	6475.0	4069.0	1778.0	1880.0	6566.0	2364.0	5198.0	4238.0
18	9086.0	64405.0	13839.0	73666.0	41589.0	9292.0	43607.0	145970.0	8019.0	7914.0
19	3313.0	157539.0	146593.0	80716.0	33112.0	29424.0	23553.0	312883.0	22400.0	1616.0
20	10045.0	180286.0	190389.0	21710.0	40351.0	25363.0	23767.0	100489.0	22014.0	4679.0
21	8172.0	19521.0	184253.0	28145.0	72280.0	36047.0	19707.0	13208.0	22753.0	1410.0
22	6648.0	17461.0	44063.0	34147.0	76257.0	33210.0	26186.0	13948.0	63934.0	8687.0
23	5437.0	22176.0	47717.0	47574.0	56461.0	31457.0	13137.0	9373.0	42270.0	262344.0
24	2639.0	21167.0	47725.0	23451.0	58527.0	29600.0	10475.0	43614.0	47474.0	218119.0
25	991290.0	12850.0	30681.0	14597.0	13277.0	11556.0	6759.0	879.0	2200.0	320022.0
