Row	1	2	3	4	5	6	7	8	9	10
1	848828	3008	4131	7089	2491	4799	725	2102	2379	576371
2	3365	3725	23141	15228	11801	14005	14405	34486	2740	4033
3	1005	58955	68335	21727	18468	13611	11199	7639	13439	6833
4	2675	10077	24176	24626	22549	11363	11528	11425	31152	3141
5	4187	9753	21456	10915	54189	13311	12576	14802	97896	3108
6	3434	8437	13429	10779	45282	26337	11497	61996	311986	3108
7	9398	5647	43859	16867	47469	22001	15449	39842	111260	26718
8	929183	6449	113580	60288	39362	15251	28559	17190	132034	20571
9	5070	4061	8087	7114	4066	3771	10932	9425	1299	5741
10	3835	60373	72978	48896	19284	21487	26176	206401	30453	7472
11	2410	105561	131647	21092	15661	20769	19075	146466	23690	5395
12	4215	9775	83139	23280	39898	14873	19329	27506	24076	5201
13	2522	10280	25678	29378	50532	25081	16914	12048	32145	5209
14	3150	10703	34032	14087	46686	25630	20569	16247	49834	65591
15	6101	4666	30755	19902	47985	26078	14029	21048	67366	52444
16	856083	3613	75885	20388	58867	26020	9269	33399	159835	73649
17	1661	4046	6475	4069	1778	1880	6566	2364	5198	4238
18	9086	64405	13839	73666	41589	9292	43607	145970	8019	7914
19	3313	157539	146593	80716	33112	29424	23553	312883	22400	1616
20	10045	180286	190389	21710	40351	25363	23767	100489	22014	4679
21	8172	19521	184253	28145	72280	36047	19707	13208	22753	1410
22	6648	17461	44063	34147	76257	33210	26186	13948	63934	8687
23	5437	22176	47717	47574	56461	31457	13137	9373	42270	262344
24	2639	21167	47725	23451	58527	29600	10475	43614	47474	218119
25	991290	12850	30681	14597	13277	11556	6759	879	2200	320022
